"filename", "language", "JSON", "JavaScript", "Properties", "HTML", "JavaScript JSX", "Markdown", "CSS", "XML", "MS SQL", "comment", "blank", "total"
"c:\Users\Acer\Desktop\FYP\Backend\routes\userRoutes.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\Acer\Desktop\FYP\Backend\server.js", "JavaScript", 0, 65, 0, 0, 0, 0, 0, 0, 0, 1, 11, 77
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\README.md", "Markdown", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 4, 9
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\eslint.config.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 2, 39
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\index.html", "HTML", 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 2, 20
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\package-lock.json", "JSON", 7423, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7424
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\package.json", "JSON", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 53
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 6, 43
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 4, 71
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\components\AppoinmentCancel.jsx", "JavaScript JSX", 0, 0, 0, 0, 83, 0, 0, 0, 0, 6, 15, 104
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\components\AppointmentList.jsx", "JavaScript JSX", 0, 0, 0, 0, 151, 0, 0, 0, 0, 2, 21, 174
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\components\CourseCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 2, 21
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\components\CustomerNavbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 118, 0, 0, 0, 0, 1, 8, 127
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\components\CustomerRegisterForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 157, 0, 0, 0, 0, 1, 12, 170
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\components\Footer.jsx", "JavaScript JSX", 0, 0, 0, 0, 112, 0, 0, 0, 0, 2, 8, 122
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\components\Hero.jsx", "JavaScript JSX", 0, 0, 0, 0, 88, 0, 0, 0, 0, 2, 5, 95
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\components\MyOrders.jsx", "JavaScript JSX", 0, 0, 0, 0, 109, 0, 0, 0, 0, 2, 12, 123
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\components\NavBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 91, 0, 0, 0, 0, 1, 5, 97
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\components\ServiceCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 35, 0, 0, 0, 0, 1, 2, 38
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\components\StaffRegisterForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 149, 0, 0, 0, 0, 1, 12, 162
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\components\Tab.jsx", "JavaScript JSX", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 6, 42
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\data\course.json", "JSON", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 95
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\data\service.json", "JSON", 507, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 510
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\layout\AuthLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\layout\CustomerLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\layout\MainLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\layout\StaffLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\pages\EmailVerifyPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 39, 0, 0, 0, 0, 5, 5, 49
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\pages\ForgotPasswordPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 5, 72
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\pages\LoginPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 157, 0, 0, 0, 0, 8, 22, 187
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\pages\ResetPasswordPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 5, 76
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\pages\SignUpPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 0, 2, 3, 15
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\pages\cart\CartPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 164, 0, 0, 0, 0, 1, 20, 185
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\pages\cart\OrderForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 107, 0, 0, 0, 0, 3, 14, 124
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\pages\customer\AboutUsPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 4, 107
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\pages\customer\BookNowPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 176, 0, 0, 0, 0, 2, 16, 194
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\pages\customer\CartPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 164, 0, 0, 0, 0, 0, 20, 184
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\pages\customer\CoursePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 81, 0, 0, 0, 0, 1, 5, 87
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\pages\customer\HomePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\pages\customer\ProductPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 207, 0, 0, 0, 0, 12, 29, 248
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\pages\customer\Profile.jsx", "JavaScript JSX", 0, 0, 0, 0, 176, 0, 0, 0, 0, 3, 21, 200
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\pages\customer\ServiceDetails.jsx", "JavaScript JSX", 0, 0, 0, 0, 115, 0, 0, 0, 0, 0, 9, 124
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\pages\customer\ServicePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 55, 0, 0, 0, 0, 3, 7, 65
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\pages\payment\Failure.jsx", "JavaScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\pages\payment\Payment.jsx", "JavaScript JSX", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 5, 56
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\pages\payment\Success.jsx", "JavaScript JSX", 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 17, 126
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\src\pages\staff\StaffHomePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\tailwind.config.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 2, 18
"c:\Users\Acer\Desktop\FYP\BeautyGaloreSalon\vite.config.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 2, 17
"c:\Users\Acer\Desktop\FYP\admin\README.md", "Markdown", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 6, 13
"c:\Users\Acer\Desktop\FYP\admin\eslint.config.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 2, 34
"c:\Users\Acer\Desktop\FYP\admin\index.html", "HTML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\Acer\Desktop\FYP\admin\layout\DashboardLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 0, 2, 3, 19
"c:\Users\Acer\Desktop\FYP\admin\package-lock.json", "JSON", 4921, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4922
"c:\Users\Acer\Desktop\FYP\admin\package.json", "JSON", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 39
"c:\Users\Acer\Desktop\FYP\admin\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Acer\Desktop\FYP\admin\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Acer\Desktop\FYP\admin\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 6, 43
"c:\Users\Acer\Desktop\FYP\admin\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 23, 0, 0, 0, 0, 2, 3, 28
"c:\Users\Acer\Desktop\FYP\admin\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Acer\Desktop\FYP\admin\src\components\AddProduct.jsx", "JavaScript JSX", 0, 0, 0, 0, 176, 0, 0, 0, 0, 0, 23, 199
"c:\Users\Acer\Desktop\FYP\admin\src\components\AllAppoinmentList.jsx", "JavaScript JSX", 0, 0, 0, 0, 134, 0, 0, 0, 0, 2, 17, 153
"c:\Users\Acer\Desktop\FYP\admin\src\components\Navbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 4, 42
"c:\Users\Acer\Desktop\FYP\admin\src\components\OrderChart.jsx", "JavaScript JSX", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 3, 32
"c:\Users\Acer\Desktop\FYP\admin\src\components\Orderlist.jsx", "JavaScript JSX", 0, 0, 0, 0, 153, 0, 0, 0, 0, 0, 15, 168
"c:\Users\Acer\Desktop\FYP\admin\src\components\ProductList.jsx", "JavaScript JSX", 0, 0, 0, 0, 302, 0, 0, 0, 0, 4, 33, 339
"c:\Users\Acer\Desktop\FYP\admin\src\components\RecentOrder.jsx", "JavaScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 2, 20
"c:\Users\Acer\Desktop\FYP\admin\src\components\SideNavbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 62, 0, 0, 0, 0, 4, 6, 72
"c:\Users\Acer\Desktop\FYP\admin\src\components\StatCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Acer\Desktop\FYP\admin\src\components\UpdateOrder.jsx", "JavaScript JSX", 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 7, 65
"c:\Users\Acer\Desktop\FYP\admin\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\Acer\Desktop\FYP\admin\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Acer\Desktop\FYP\admin\src\pages\Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 10, 81
"c:\Users\Acer\Desktop\FYP\admin\src\pages\Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 69, 0, 0, 0, 0, 2, 8, 79
"c:\Users\Acer\Desktop\FYP\admin\tailwind.config.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 2, 13
"c:\Users\Acer\Desktop\FYP\admin\vite.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"c:\Users\Acer\Desktop\FYP\package-lock.json", "JSON", 2742, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2743
"c:\Users\Acer\Desktop\FYP\package.json", "JSON", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
"Total", "-", 15820, 1709, 8, 30, 4299, 12, 80, 4, 180, 373, 911, 23426
